PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
40317015,"Evaluation of annexin A1, carbonic anhydrase 1, and elongation factor 1-gamma levels in periodontal diseases.",2025 May 2,BMC oral health,Uzun Saylan BC; Yilmaz B; Ozturk VO; Atmaca H; Emingil G,Comparative Study; Journal Article,Humans; Gingivitis/metabolism; Male; *Annexin A1/analysis/metabolism; Female; *Gingival Crevicular Fluid/chemistry; *Periodontitis/metabolism/classification; Adult; Middle Aged; *Carbonic Anhydrase I/analysis/metabolism; Periodontal Pocket/metabolism; Case-Control Studies; Periodontal Attachment Loss/metabolism; Periodontal Index,Clinical
20490384,Impact of periodontal disease on quality of life.,2010 Jun,"Quintessence international (Berlin, Germany : 1985)",Araujo AC; Gusmao ES; Batista JE; Cimoes R,Journal Article,Activities of Daily Living; Adult; Age Factors; Aged; Aggressive Periodontitis/psychology; Chronic Periodontitis/psychology; Cross-Sectional Studies; Educational Status; Female; Humans; Income; Male; Marital Status; Middle Aged; Periodontitis/*psychology; *Quality of Life; Sex Factors; Social Behavior; Socioeconomic Factors; Speech/physiology; Taste/physiology; Young Adult,Clinical
30182639,Propolis as an adjuvant to non-surgical periodontal treatment: a clinical study with salivary anti-oxidant capacity assessment.,2018 Oct,Minerva stomatologica,Giammarinaro E; Marconcini S; Genovesi A; Poli G; Lorenzi C; Covani U,Journal Article; Randomized Controlled Trial,Adolescent; Adult; Aged; Antioxidants/therapeutic use; Biofilms; Chlorhexidine/therapeutic use; Combined Modality Therapy; Dental Plaque/complications; Dental Scaling; Female; Gels; Gingivitis/etiology/*therapy; Humans; Male; Middle Aged; Oxidation-Reduction; Oxidative Stress; Propolis/*therapeutic use; Root Planing; Saliva/chemistry; Young Adult,Clinical
27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,2016 Dec,Lasers in medical science,Martins F; Simoes A; Oliveira M; Luiz AC; Gallottini M; Pannuti C,Journal Article; Randomized Controlled Trial,Adult; Anti-Bacterial Agents/therapeutic use; Dental Scaling/methods; Double-Blind Method; Down Syndrome/*physiopathology; Female; Humans; Male; Periodontal Diseases/*drug therapy; Photochemotherapy/*methods; Photosensitizing Agents/therapeutic use; Root Planing/methods,Clinical
28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,2017 May-Jun,Journal of applied oral science : revista FOB,Dutra BC; Oliveira AMSD; Oliveira PAD; Manzi FR; Cortelli SC; Cota LOM; Costa FO,Journal Article; Randomized Controlled Trial,"Adult; Alendronate/*administration & dosage; Bone Density Conservation Agents/*administration & dosage; Bone Diseases, Infectious/diagnostic imaging/*drug therapy; Bone Regeneration/drug effects; Chronic Periodontitis/diagnostic imaging/*drug therapy; Cone-Beam Computed Tomography; Dental Plaque Index; Dental Scaling/methods; Female; Follow-Up Studies; Humans; Male; Middle Aged; Placebos; Reproducibility of Results; Sodium/*administration & dosage; Statistics, Nonparametric; Time Factors; Treatment Outcome",Clinical
35645071,Immediate effects of diode laser (970+/-15 nm) on microbial load in patients with chronic periodontitis: A split-mouth study.,2021 Oct-Dec,Indian journal of dental research : official publication of Indian Society for Dental Research,Chandrasekaran K; D Chavan SK; Kripal K; Anuroopa P,Journal Article; Randomized Controlled Trial,"*Chronic Periodontitis/therapy; Gingiva; Gingival Crevicular Fluid; Humans; Lasers, Semiconductor/therapeutic use; Saliva",Clinical
36841278,Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease.,2023 Jun,Photodiagnosis and photodynamic therapy,Shetty B; Divakar DD; Jameel AHA; Almalki SA; Gowdar IM; Dewan H,Journal Article; Randomized Controlled Trial,Humans; *Prediabetic State/complications/drug therapy; Glycated Hemoglobin; *Photochemotherapy/methods; Photosensitizing Agents/therapeutic use; *Periodontal Diseases/drug therapy; Inflammation/drug therapy; Dental Scaling; Root Planing; *Chronic Periodontitis/drug therapy,Clinical
37170229,Research efficacy of gaseous ozone therapy as an adjuvant to periodontal treatment on oxidative stress mediators in patients with type 2 diabetes: a randomized clinical trial.,2023 May 11,BMC oral health,Rapone B; Ferrara E; Qorri E; Inchingolo F; Isola G; Dongiovanni P; Tartaglia GM; Scarano A,Journal Article; Randomized Controlled Trial,"Humans; *Diabetes Mellitus, Type 2/complications/therapy; Antioxidants/therapeutic use; Root Planing; *Chronic Periodontitis; Oxidative Stress; *Ozone/therapeutic use; Dental Scaling",Clinical
25084111,Arterial stiffness and pulse wave reflection are increased in patients suffering from severe periodontitis.,2014,PloS one,Jockel-Schneider Y; Harks I; Haubitz I; Fickl S; Eigenthaler M; Schlagenhauf U; Baulmann J,"Journal Article; Research Support, Non-U.S. Gov't",Adult; Aged; Aorta/physiopathology; Blood Pressure; Chronic Disease; Cross-Sectional Studies; Female; Hemodynamics; Humans; Male; Middle Aged; Oscillometry; Periodontitis/diagnosis/*physiopathology; *Pulse Wave Analysis; Risk Factors; Severity of Illness Index; *Vascular Stiffness,Clinical
22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,2012 Jul,Photomedicine and laser surgery,Eltas A; Orbak R,Journal Article; Randomized Controlled Trial,"Adult; Chronic Periodontitis/pathology/*therapy; Dental Scaling; Female; Gingival Crevicular Fluid/chemistry; Humans; Lasers, Solid-State/*adverse effects/*therapeutic use; Male; Middle Aged; Periodontal Pocket/pathology; Root Planing; Single-Blind Method; Smoking/*adverse effects",Clinical
20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,2011 Jan,Journal of periodontology,Flemmig TF; Petersilka G; Volp A; Gravemeier M; Zilly M; Mross D; Prior K; Yamamoto J; Beikler T,"Clinical Trial, Phase II; Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Administration, Topical; Adult; Aged; Aggregatibacter actinomycetemcomitans/drug effects; Anti-Infective Agents/*administration & dosage; Aza Compounds/*administration & dosage; Bacterial Load; Bacteroides/drug effects; Chronic Periodontitis/drug therapy/microbiology/*therapy; Dental Plaque/microbiology; Dental Scaling; Drug Resistance, Bacterial; Female; Fluoroquinolones; Follow-Up Studies; Gingival Hemorrhage/drug therapy/therapy; Gingival Recession/drug therapy/therapy; Humans; Male; Middle Aged; Moxifloxacin; Periodontal Attachment Loss/drug therapy/microbiology/therapy; Periodontal Pocket/drug therapy/microbiology/therapy; Placebos; Porphyromonas gingivalis/drug effects; Quinolines/*administration & dosage; Root Planing; Safety; Streptococcus intermedius/drug effects; Treatment Outcome; Treponema denticola/drug effects",Clinical
37066949,The effect of motivational interviewing based on the transtheoretical model on oral cleaning behavior of patients with periodontitis who have undergone implant restoration.,2023,Technology and health care : official journal of the European Society for Engineering and Medicine,He G; Wang Z; Hu C; Yang Y; Wang N; Shao L; You J,Journal Article; Randomized Controlled Trial,Humans; *Motivational Interviewing; Oral Hygiene; *Periodontitis; Transtheoretical Model,Clinical
