PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
32233092,Do patients with aggressive and chronic periodontitis exhibit specific differences in the subgingival microbial composition? A systematic review.,2020 Nov,Journal of periodontology,Montenegro SCL; Retamal-Valdes B; Bueno-Silva B; Duarte PM; Faveri M; Figueiredo LC; Feres M,Journal Article; Systematic Review,Aggregatibacter actinomycetemcomitans; *Aggressive Periodontitis; *Chronic Periodontitis; *Dental Plaque; Bacillota; Humans; Porphyromonas gingivalis,Review
39696713,Systematic review and meta-analysis of the association of neutrophil-to-lymphocyte ratio and platelet-to-lymphocyte ratio with periodontitis.,2024 Dec 18,European journal of medical research,Ghasemi S; Mortezagholi B; Movahed E; Ghaedi A; Bazrgar A; Abdolalizadehil S; Khanzadeh S,Journal Article; Meta-Analysis; Systematic Review,Humans; Biomarkers/blood; *Blood Platelets/immunology; Lymphocyte Count; *Lymphocytes/immunology; *Neutrophils/immunology; *Periodontitis/blood/immunology; Platelet Count/methods,Review
34692561,Comparison of Red-Complex Bacteria Between Saliva and Subgingival Plaque of Periodontitis Patients: A Systematic Review and Meta-Analysis.,2021,Frontiers in cellular and infection microbiology,Jiang Y; Song B; Brandt BW; Cheng L; Zhou X; Exterkate RAM; Crielaard W; Deng DM,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review","Aggregatibacter actinomycetemcomitans; Humans; *Periodontitis; Porphyromonas gingivalis/genetics; RNA, Ribosomal, 16S/genetics; *Saliva; Treponema denticola/genetics",Review
41421601,Effect of dental treatments on reduction of preterm birth: a systematic review and meta-analysis.,2026 Mar,American journal of obstetrics & gynecology MFM,Thomas C; Ahmed S; Berghella V; Brignardello-Petersen R; El-Rabbany M; Devion C; Ronzoni S,Journal Article; Meta-Analysis; Review; Systematic Review,"Humans; *Premature Birth/prevention & control/epidemiology; Pregnancy; Female; *Periodontal Diseases/therapy/complications; Randomized Controlled Trials as Topic; Mouthwashes/therapeutic use; Dental Scaling/methods; Infant, Newborn; Root Planing/methods; Chlorhexidine/therapeutic use; *Pregnancy Complications/therapy",Review
28266118,"Ageing, dental caries and periodontal diseases.",2017 Mar,Journal of clinical periodontology,Lopez R; Smith PC; Gostemeyer G; Schwendicke F,Journal Article; Systematic Review,Age Factors; Aged; Aging; Cost of Illness; Dental Caries/*epidemiology; Humans; Periodontal Diseases/*epidemiology,Review
41290276,THE ASSOCIATION BETWEEN PERIODONTAL DISEASE AND STROKE RISK: A SYSTEMATIC REVIEW AND META-ANALYSIS.,2025 Dec,The journal of evidence-based dental practice,Zhang Y; Bian CE; Yu C; Zhu M; Weir MD; Xu HHK; Bai Y; Zhang N,Journal Article; Meta-Analysis; Systematic Review,Humans; *Stroke/etiology/epidemiology; *Periodontal Diseases/complications/epidemiology; Risk Factors,Review
33124761,Risk of incident cardiovascular disease in people with periodontal disease: A systematic review and meta-analysis.,2021 Feb,Clinical and experimental dental research,Larvin H; Kang J; Aggarwal VR; Pavitt S; Wu J,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",*Cardiovascular Diseases/epidemiology; *Coronary Disease; Humans; Longitudinal Studies; Male; *Periodontal Diseases/complications/epidemiology; *Stroke/epidemiology/etiology,Review
40981157,Artificial Intelligence Models for Diagnosis of Periodontitis Using Non-Invasive Biological Markers: A Systematic Review and Meta-Analysis of Patient-Based Studies.,2025 Sep 1,"Medical sciences (Basel, Switzerland)",Ardila CM; Vivares-Builes AM; Yadalam PK,Journal Article; Meta-Analysis; Systematic Review,Humans; *Biomarkers/analysis/metabolism; *Artificial Intelligence; *Periodontitis/diagnosis/metabolism; Saliva/chemistry; Gingival Crevicular Fluid/chemistry; Machine Learning,Review
33130400,Oral health status of patients with leukemia: a systematic review with meta-analysis.,2020 Dec,Archives of oral biology,Angst PDM; Maier J; Dos Santos Nogueira R; Manso IS; Tedesco TK,Journal Article; Meta-Analysis; Systematic Review,Adolescent; Child; Cross-Sectional Studies; *Dental Caries/epidemiology; *Gingivitis/epidemiology; Humans; *Leukemia/complications/epidemiology; *Oral Health,Review
40899377,Effect of melatonin as an adjunct to non-surgical periodontal therapy in the treatment of periodontitis: A systematic review and meta-analysis.,2025 Jul-Aug,Dental and medical problems,Kasliwal PA; Rathod S; Rathi P; Kolte AP,Journal Article; Meta-Analysis; Systematic Review,*Melatonin/therapeutic use; Humans; *Periodontitis/therapy/drug therapy; *Antioxidants/therapeutic use; Combined Modality Therapy,Review
