PMID,Title,Dataset,n_Results,within_Results_similarity,within_Results_similarity_residualized_for_n_Results,embedding_model_label
39808292,"Weighing up the potential of ""superfoods"" compounds of green tea or turmeric as adjuncts in comparison to established therapeutical approaches for periodontal disease.",Review,4,0.3611193870504697,0.0055619800597774,MiniLM
26928597,The concomitant administration of systemic amoxicillin and metronidazole compared to scaling and root planing alone in treating periodontitis: =a systematic review=.,Review,4,0.3129593605796496,-0.0425980464110425,MiniLM
34608627,Periodontitis and Systemic Lupus Erythematosus: A systematic review and meta-analysis.,Review,5,0.2909666926600039,-0.0640484189861045,MiniLM
36377800,Periodontitis and risk of immune-mediated systemic conditions: A systematic review and meta-analysis.,Review,5,0.2311122827231884,-0.12390282892292,MiniLM
24880982,Does periodontal treatment influence clinical and biochemical measures for rheumatoid arthritis? A systematic review and meta-analysis.,Review,4,0.14747462545832,-0.2080827815323722,MiniLM
23151293,Effect of periodontal therapy on prevention of gastric Helicobacter pylori recurrence: a systematic review and meta-analysis.,Review,2,0.2429416328668594,-0.1137003648130003,MiniLM
37023342,Prevalence of periodontal disease among Vietnamese adults: A systematic review and meta-analysis.,Review,4,0.3725159838795662,0.0169585768888739,MiniLM
27825315,Periodontitis and gestational diabetes mellitus: a systematic review and meta-analysis of observational studies.,Review,6,0.3607375794400771,0.0062647631385524,MiniLM
32051966,Association Between Periodontitis and Nosocomial Pneumonia: A Systematic Review and Meta-analysis of Observational Studies.,Review,2,0.3086702227592468,-0.0479717749206129,MiniLM
31969148,Effects of non-surgical periodontal therapy on systemic inflammation and metabolic markers in patients undergoing haemodialysis and/or peritoneal dialysis: a systematic review and meta-analysis.,Review,4,0.3488778074582417,-0.0066795995324505,MiniLM
36261851,The effect of antiretroviral therapyon the periodontal conditions of patients with HIV infection: A systematic review and meta-analysis.,Review,9,0.3245007876410252,-0.0283451426267481,MiniLM
20024665,Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,Review,3,0.1319702342152595,-0.2241294681200165,MiniLM
40335202,PERIODONTITIS AS A RISK FACTOR FOR DEMENTIA: A SYSTEMATIC REVIEW AND META-ANALYSIS.,Review,5,0.3383301664143801,-0.0166849452317283,MiniLM
38629069,"Higher odds of periodontitis in systemic lupus erythematosus compared to controls and rheumatoid arthritis: a systematic review, meta-analysis and network meta-analysis.",Review,4,0.7363630831241608,0.3808056761334685,MiniLM
27796062,Oral health status of children and young adults with autism spectrum disorders: systematic review and meta-analysis.,Review,4,0.210253636042277,-0.1453037709484152,MiniLM
35797566,A Systematic Review and Meta-Analysis of the Association Between Periodontal Disease and Severe Mental Illness.,Review,6,0.2829083636403083,-0.0715644526612163,MiniLM
33864280,Periodontal health status of children and adolescents with diabetes mellitus: a systematic review and meta-analysis.,Review,3,0.4096372326215108,0.0535375302862348,MiniLM
25261053,Global burden of severe periodontitis in 1990-2010: a systematic review and meta-regression.,Review,5,0.5456070184707642,0.1905919068246557,MiniLM
37173720,Periostin level in gingival crevicular fluid in periodontal disease: a systematic review and meta-analysis.,Review,4,0.2710414019723733,-0.0845160050183189,MiniLM
35119242,Is there an association between periodontal diseases and ABO blood group? Systematic review and meta-analysis.,Review,6,0.4013076777259509,0.0468348614244262,MiniLM
40576216,The Impacts of Probiotics Supplementation on the Treatment of Periodontitis: An Umbrella Meta-Analysis.,Review,3,0.2105015019575754,-0.1455982003777006,MiniLM
26881700,Clinical research activity in periodontal medicine: a systematic mapping of trial registers.,Review,4,0.3741221390664577,0.0185647320757654,MiniLM
40218924,"The Role of Vitamin B Complex in Periodontal Disease: A Systematic Review Examining Supplementation Outcomes, Age Differences in Children and Adults, and Aesthetic Changes.",Review,6,0.4615701705217361,0.1070973542202114,MiniLM
33904994,Association between clinical measures of gingival inflammation and obesity in adults: systematic review and meta-analyses.,Review,6,0.2670544466624657,-0.0874183696390589,MiniLM
26932392,The effectiveness of low-level laser therapy as an adjunct to non-surgical periodontal treatment: a meta-analysis.,Review,4,0.2185041817526022,-0.13705322523809,MiniLM
27585589,Do periapical and periodontal pathologies affect Schneiderian membrane appearance? Systematic review of studies using cone-beam computed tomography.,Review,3,0.417594109972318,0.061494407637042,MiniLM
36746669,Effects of periodontal treatment on the C-reactive protein levels in hemodialysis patients: A systematic review and meta-analysis.,Review,5,0.2202172972261905,-0.1347978144199179,MiniLM
30154031,Bariatric surgery and periodontal status: A systematic review with meta-analysis.,Review,4,0.2989189152916272,-0.056638491699065,MiniLM
34495401,Prevalence of red and orange microbial complexes in endodontic-periodontal lesions: a systematic review and meta-analysis.,Review,5,0.3970614723861217,0.0420463607400132,MiniLM
41253726,"Depression is associated with periodontitis, dental caries and edentulism: A systematic review and meta-analysis of observational studies.",Review,7,0.2669146686260189,-0.0870158523309219,MiniLM
24697584,Systematic review of the adjunctive use of diode and Nd:YAG lasers for nonsurgical periodontal instrumentation.,Review,2,0.1094104200601577,-0.247231577619702,MiniLM
26329272,Efficacy of adjunctive laser in non-surgical periodontal treatment: a systematic review and meta-analysis.,Review,2,0.2281898856163025,-0.1284521120635572,MiniLM
39185624,Association between Periodontal Diseases and the Risk of Site-Specific Gastrointestinal Cancers: A Systematic Review and Meta-Analysis.,Review,6,0.5152062430977822,0.1607334267962575,MiniLM
36353241,Obesity and periodontitis: A systematic review and updated meta-analysis.,Review,4,0.3401914437611897,-0.0153659632295025,MiniLM
27617985,"A Systematic Review on the Implication of Minerals in the Onset, Severity and Treatment of Periodontal Disease.",Review,2,0.5075961351394653,0.1509541374596055,MiniLM
39343995,Periodontitis and Oral Health-Related Quality of Life: A Systematic Review and Meta-Analysis.,Review,5,0.2214984100311994,-0.133516701614909,MiniLM
32052179,Clinical efficacy of minimally invasive surgical (MIS) and non-surgical (MINST) treatments of periodontal intra-bony defect. A systematic review and network meta-analysis of RCT's.,Review,6,0.2239878848195076,-0.130484931482017,MiniLM
32233092,Do patients with aggressive and chronic periodontitis exhibit specific differences in the subgingival microbial composition? A systematic review.,Review,3,0.3224424570798874,-0.0336572452553886,MiniLM
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,6,0.4307608405749003,0.0762880242733756,MiniLM
36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,Clinical,2,0.4364216327667236,0.0797796350868638,MiniLM
27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,Clinical,5,0.2710180014371872,-0.0839971102089212,MiniLM
40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,Clinical,3,0.5701519449551901,0.214052242619914,MiniLM
21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,3,0.2731861074765523,-0.0829135948587236,MiniLM
28025432,Visfatin levels in gingival crevicular fluid and serum before and after non-surgical treatment for periodontal diseases.,Clinical,3,0.8064718047777811,0.4503721024425051,MiniLM
40123306,"Systemic Azithromycin as an Adjunct to Non-Surgical Subgingival Instrumentation in the Treatment of Stage III/IV, Grade C Periodontitis: 12-Month Clinical, Microbiological and Cytokine Results of a Randomised Controlled Trial.",Clinical,5,0.2884643066674471,-0.0665508049786613,MiniLM
27145828,"The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study.",Clinical,3,0.4697772761185964,0.1136775737833203,MiniLM
27477110,"Treatment of periodontal intrabony defects using autologous platelet-rich fibrin and titanium platelet-rich fibrin: a randomized, clinical, comparative study.",Clinical,2,0.2334415018558502,-0.1232004958240095,MiniLM
26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,Clinical,4,0.7243883609771729,0.3688309539864806,MiniLM
33687555,Changes in clinical parameters following adjunctive local sodium hypochlorite gel in minimally invasive nonsurgical therapy (MINST) of periodontal pockets: a 6-month randomized controlled clinical trial.,Clinical,6,0.3831427643696467,0.028669948068122,MiniLM
25762359,Microbiologic Observations After Four Treatment Strategies Among Patients With Periodontitis Maintaining a High Standard of Oral Hygiene: Secondary Analysis of a Randomized Controlled Clinical Trial.,Clinical,3,0.1698278014858563,-0.1862719008494197,MiniLM
28667678,"Effects of photodynamic therapy in periodontal treatment: A randomized, controlled clinical trial.",Clinical,3,0.3375647912422816,-0.0185349110929943,MiniLM
23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,Clinical,6,0.3945179720719655,0.0400451557704408,MiniLM
37814261,Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,Clinical,6,0.6075129032135009,0.2530400869119762,MiniLM
25646170,Effect of a single session of antimicrobial photodynamic therapy using indocyanine green in the treatment of chronic periodontitis: a randomized controlled pilot trial.,Clinical,4,0.2960715653995673,-0.0594858415911249,MiniLM
31589587,Antimicrobial Photodynamic Therapy Using a Chloro-Aluminum Phthalocyanine Adjuvant to Nonsurgical Periodontal Treatment Does Not Improve Clinical Parameters in Patients with Chronic Periodontitis.,Clinical,2,0.5434547066688538,0.186812708988994,MiniLM
40875065,Efficacy of maxillary occlusal splints on mobile posterior teeth in patients with stage III or IV periodontitis during steps 1 and 2 of periodontal therapy: a randomized parallel-controlled clinical trial.,Clinical,3,0.5083555579185486,0.1522558555832726,MiniLM
26733449,"The relationship between recurrent aphthous stomatitis, and periodontal disease and Helicobacter Pylori infection.",Clinical,4,0.3741895693043868,0.0186321623136945,MiniLM
25972081,Platelet rich fibrin combined with decalcified freeze-dried bone allograft for the treatment of human intrabony periodontal defects: a randomized split mouth clinical trail.,Clinical,3,0.226998413602511,-0.129101288732765,MiniLM
40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,Clinical,7,0.4147358918119044,0.0608053708549635,MiniLM
38812644,The role of probiotics for preventing dysbiosis in periodontal disease: a randomized controlled trial.,Clinical,2,0.167282685637474,-0.1893593120423857,MiniLM
