embedding_model_label,Metric,Review_mean,Clinical_mean,Review_SD,Clinical_SD,Mean_difference_Review_minus_Clinical,Cohen_d_Review_minus_Clinical,Welch_t_stat,Welch_t_p,Mann_Whitney_U,Mann_Whitney_p,n_review,n_clinical
MiniLM,local_discontinuity_burden,0.1486036789148243,0.1723787539429954,0.0823303931007665,0.0695933898010846,-0.023775075028171,-0.3118926742512219,-1.5594633712561097,0.122199609411651,1005.5,0.0918287422809997,50,50
MiniLM,within_role_discontinuity_burden,0.0793862742005156,0.089601774816171,0.0664605738924844,0.0615291788840338,-0.0102155006156554,-0.159511620487203,-0.7975581024360152,0.4270666176160734,1080.0,0.2376679563367905,50,50
MiniLM,mean_similarity_to_opening_anchor,0.4534446278464508,0.4662610880736675,0.0923772285511734,0.0961084177147073,-0.0128164602272167,-0.1359673805315075,-0.6798369026575379,0.4982130117984568,1194.0,0.7020111769696078,50,50
MiniLM,final_similarity_to_opening_anchor,0.5135875276476145,0.446718133194372,0.1778303248174641,0.1689513167508881,0.0668693944532424,0.3855307118154301,1.9276535590771504,0.0568011248969995,1528.0,0.0557435699571505,50,50
MiniLM,mean_similarity_to_own_role_anchor_loo,0.3756210255929111,0.3899718207828803,0.0904436960042995,0.1180881986679307,-0.0143507951899691,-0.1364427471808216,-0.682213735904108,0.4968221599171533,1139.0,0.446199021782605,50,50
MiniLM,within_Methods_similarity,0.2459303425985186,0.2617135885434853,0.1169557615594638,0.1239248939136862,-0.0157832459449667,-0.1310720185752031,-0.6411987487984231,0.5229693890204188,1121.0,0.8259672494705576,49,47
MiniLM,within_Results_similarity,0.3055750579843228,0.4087523182936004,0.1284778452417812,0.1634526283616086,-0.1031772603092776,-0.7045323406513088,-3.405973585054272,0.0010069460109196,696.0,0.001346365047901,49,46
MiniLM,conclusion_to_aim_alignment,0.6314332694449323,0.6173654205419801,0.1454977948492076,0.1763060822581154,0.0140678489029522,0.0873129103659394,0.4136050128434206,0.6802230187314919,1098.0,0.6140455196515036,47,44
MiniLM,conclusion_to_results_alignment,0.6070645785331726,0.5128438934987906,0.1397507579005932,0.1525677918648064,0.094220685034382,0.6443158858130312,3.2024058527866988,0.0018497751740217,1684.0,0.0013327554368945,50,49
MiniLM,results_to_methods_alignment,0.5452330303192139,0.5562804444134235,0.1218218223848753,0.1346068581536128,-0.0110474140942096,-0.0860567440738859,-0.4302837203694298,0.6679433664027254,1170.0,0.5836516113073977,50,50
MiniLM,methods_to_aim_alignment,0.4763302535135695,0.559597083595064,0.1851179362005814,0.1087705476535701,-0.0832668300814944,-0.545509114424901,-2.6436818028208053,0.0099820405976717,765.0,0.0225635148807284,47,45
MiniLM,results_to_aim_alignment,0.539732648654187,0.4504451867606904,0.1478184788471614,0.1900754381256948,0.0892874618934965,0.5258499515210997,2.50767962567912,0.0140994670502758,1377.0,0.0127156175788331,47,45
MiniLM,conclusion_to_background_plus_aim_alignment,0.6290589824318886,0.5989523219818972,0.1447499719303111,0.1550189209987203,0.0301066604499914,0.2008189047417967,0.9983130378502996,0.3206310294370751,1393.0,0.2410943693057311,50,49
MiniLM,conclusion_plus_future_to_background_plus_aim_alignment,0.6371060371398926,0.6003099613043726,0.1482764242495327,0.154169873730118,0.0367960758355199,0.2433257218596697,1.2099872815100696,0.2292345671002953,1413.0,0.1894436731738212,50,49
