Dataset,PMID,Title,Metric,Embedding_model,Value
Clinical,40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,n_sentences,MPNet,12.0
Clinical,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,n_sentences,MPNet,7.0
Clinical,28025432,Visfatin levels in gingival crevicular fluid and serum before and after non-surgical treatment for periodontal diseases.,n_sentences,MPNet,11.0
Clinical,40123306,"Systemic Azithromycin as an Adjunct to Non-Surgical Subgingival Instrumentation in the Treatment of Stage III/IV, Grade C Periodontitis: 12-Month Clinical, Microbiological and Cytokine Results of a Randomised Controlled Trial.",n_sentences,MPNet,13.0
Clinical,27145828,"The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study.",n_sentences,MPNet,13.0
Clinical,27477110,"Treatment of periodontal intrabony defects using autologous platelet-rich fibrin and titanium platelet-rich fibrin: a randomized, clinical, comparative study.",n_sentences,MPNet,9.0
Clinical,26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,n_sentences,MPNet,15.0
Clinical,33687555,Changes in clinical parameters following adjunctive local sodium hypochlorite gel in minimally invasive nonsurgical therapy (MINST) of periodontal pockets: a 6-month randomized controlled clinical trial.,n_sentences,MPNet,17.0
Clinical,25762359,Microbiologic Observations After Four Treatment Strategies Among Patients With Periodontitis Maintaining a High Standard of Oral Hygiene: Secondary Analysis of a Randomized Controlled Clinical Trial.,n_sentences,MPNet,12.0
Clinical,28667678,"Effects of photodynamic therapy in periodontal treatment: A randomized, controlled clinical trial.",n_sentences,MPNet,9.0
Clinical,23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,n_sentences,MPNet,13.0
Clinical,37814261,Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,n_sentences,MPNet,12.0
